command,text_orig,key,is_skippable,fit_mode,name,time,volume,image,fadetime,a,r,g,b,block,width,height,screenadapt,intro,crossfade,delay,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第十三关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,0,,,,False
name,5:57 a.m. \ 多云 \ 能见度 17公里,,,,,,,,,,,,,,,,,,,,,,,0,1,5:57 a.m. \ 多云 \ 能见度 17公里,午前5時57分　曇り　視界17キロ,,True
name,龙门外环外4公里，荒漠,,,,,,,,,,,,,,,,,,,,,,,0,2,龙门外环外4公里，荒漠,龍門外環の外4キロ、荒野,,True
name,切尔诺伯格营救行动 结束后4天,,,,,,,,,,,,,,,,,,,,,,,0,3,切尔诺伯格营救行动 结束后4天,チェルノボーグ救出作戦終了から4日後,,True
delay,,,,,,1,,,,,,,,,,,,,,,,,,0,4,,,,False
playsound,,$d_gen_transmissionget,,,,,0.6,,,,,,,,,,,,,,,,,0,5,,,,False
image,,,,,,,,bg_2_call,2,,,,,,,,,,,,,,,0,6,,,,False
name,"博士, 早上好。您已经休息了99999999————",,,,PRTS,,,,,,,,,,,,,,,,,,,0,7,"博士, 早上好。您已经休息了99999999————",ドクター、おはようございます。あなたはすでに99999999————休みました。,PRTS,True
name,————个小时。,,,,PRTS,,,,,,,,,,,,,,,,,,,0,8,————个小时。,————時間です。,PRTS,True
name,虽然我知道您很不愿意起床，不过有人需要您立刻前往作战会议室。,,,,PRTS,,,,,,,,,,,,,,,,,,,0,9,虽然我知道您很不愿意起床，不过有人需要您立刻前往作战会议室。,起きたくないお気持ちは分かりますが、すぐに作戦会議室へ来てほしいという方がいます。,PRTS,True
name,另外来自凯尔希医生的医学建议，希望您多开窗保持通风，并且进入甲板晒太阳以平衡维生素D。,,,,PRTS,,,,,,,,,,,,,,,,,,,0,10,另外来自凯尔希医生的医学建议，希望您多开窗保持通风，并且进入甲板晒太阳以平衡维生素D。,また、ケルシー医師からの医学的アドバイスとして、窓を開けて換気をし、デッキに出て日光を浴びてビタミンDを補うようにとのことです。,PRTS,True
playsound,,$d_gen_transmissionget,,,,,0.6,,,,,,,,,,,,,,,,,0,11,,,,False
blocker,,,,,,,,,0,1,0,0,0,true,,,,,,,,,,0,12,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,0,13,,,,False
playsound,,$d_gen_walk_n,,,,,0.6,,,,,,,,,,,,,,,,,0,14,,,,False
delay,,,,,,1.5,,,,,,,,,,,,,,,,,,0,15,,,,False
background,,,,,,,,bg_bridge,1,,,,,,1,1,coverall,,,,,,,0,16,,,,False
playsound,,$d_gen_soldiersrun,,,,,0.4,,,,,,,,,,,,,,,,,0,17,,,,False
delay,,,,,,1.4,,,,,,,,,,,,,,,,,,0,18,,,,False
delay,,,,,,2,,,,,,,,,,,,,,,,,,0,19,,,,False
playmusic,,$m_dia_street_loop,,,,,0.8,,,,,,,,,,,$m_dia_street_intro,1,0.5,,,,0,20,,,,False
blocker,,,,,,,,,2,0,,,,true,,,,,,,,,,0,21,,,,False
delay,,,,,,1.4,,,,,,,,,,,,,,,,,,0,22,,,,False
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,啊，是博士！早啊。,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,24,啊，是博士！早啊。,あっ、ドクター！おはようございます。,アーミヤ,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,博士，你来了。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,26,博士，你来了。,ドクター、来てくれたんですね。,ドーベルマン,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,博士身体好些了吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,28,博士身体好些了吗？,ドクターのお身体はもう大丈夫ですか？,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,昨天看你好像还有些伤痛，行动不太方便。,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,30,昨天看你好像还有些伤痛，行动不太方便。,昨日はまだ痛みがあるようで、動きづらそうでした。,アーミヤ,True
decision,我已经完全恢复了。你呢？,,,,,,,,,,,,,,,,,,,,我已经完全恢复了。你呢？,1,,1,31,我已经完全恢复了。你呢？,もうすっかり回復しました。あなたはどうですか？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,1,0,32,,,,False
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,感觉今天活力满满的，已经没什么问题了！,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,34,感觉今天活力满满的，已经没什么问题了！,今日はとても元気で、もう問題ありません！,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,0,35,,,,False
name,毕竟接下来，我们还有别的任务......,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,36,毕竟接下来，我们还有别的任务......,何しろこの後、私たちにはまた別の任務がありますから……,アーミヤ,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,0,37,,,,False
name,需要早点做好准备。博士也要把快速调整当成常态哦。,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,38,需要早点做好准备。博士也要把快速调整当成常态哦。,早めに準備をしておきましょう。ドクターも素早い対応を習慣にしてくださいね。,アーミヤ,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,0,39,,,,False
name,博士。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,40,博士。,ドクター。,ドーベルマン,True
name,之前我们在切城的行动，虽然遭受了很大损失，但是获得了不少关于整合运动的情报，而且还救出了博士您。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,41,之前我们在切城的行动，虽然遭受了很大损失，但是获得了不少关于整合运动的情报，而且还救出了博士您。,以前チェルノボーグでの作戦では大きな損失を受けましたが、統合運動に関する多くの情報を入手し、さらにドクターも救出することができました。,ドーベルマン,True
name,根据昨天会谈的结果，我们最近的移动城市————“龙门”，已向我们发送了一份合作框架协议，同意与我们交换情报。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,42,根据昨天会谈的结果，我们最近的移动城市————“龙门”，已向我们发送了一份合作框架协议，同意与我们交换情报。,昨日の会談の結果、最新の移動都市——「龍門」から協力枠組み協定が送られてきて、情報交換に同意してくれました。,ドーベルマン,True
name,而有迹象显示“龙门”已经成为整合运动下一个行动目标。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,43,而有迹象显示“龙门”已经成为整合运动下一个行动目标。,さらに、「龍門」が統合運動の次の行動目標となっている兆候も見られます。,ドーベルマン,True
name,关于其他的内容，还需经过尚在龙门城内的凯尔希医生同意后，才能定下来。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,44,关于其他的内容，还需经过尚在龙门城内的凯尔希医生同意后，才能定下来。,そのほかの内容については、現在龍門市内にいるケルシー医師の同意が必要です。,ドーベルマン,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,0,45,,,,False
name,龙门暂时答应了我们停泊在城市附近的要求，然后他们愿意给予一部分我们在行动中损失的物资，以及消耗的补给。,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,46,龙门暂时答应了我们停泊在城市附近的要求，然后他们愿意给予一部分我们在行动中损失的物资，以及消耗的补给。,龍門は私たちが都市近くに停泊することを許可し、作戦で失った物資や消耗した補給の一部を提供してくれることになりました。,アーミヤ,True
name,作为交换，罗德岛需要协助龙门，进行城市外环的一些临时性防卫工作。,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,47,作为交换，罗德岛需要协助龙门，进行城市外环的一些临时性防卫工作。,その代わりに、ロドスは龍門の外環での臨時防衛任務を手伝うことになります。,アーミヤ,True
character,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,0,48,,,,False
name,不过今天这么早是因为......,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,49,不过今天这么早是因为......,でも、今日はこんなに早いのは……,アーミヤ,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,0,50,,,,False
name,我来说吧，阿米娅。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,51,我来说吧，阿米娅。,私が説明しよう、アーミヤ。,ドーベルマン,True
name,从昨天晚上开始，又有一波切尔诺伯格的幸存者在荒野中被发现，他们正在移动前往龙门，预计下午到达。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,52,从昨天晚上开始，又有一波切尔诺伯格的幸存者在荒野中被发现，他们正在移动前往龙门，预计下午到达。,昨夜から、またチェルノボーグの生存者の一団が荒野で発見され、今龍門に向かって移動しており、午後には到着する見込みです。,ドーベルマン,True
name,和之前几天一样，我们仍然需要对龙门5区的外围进行防卫工作，只不过这次，可能会混入更多的整合运动。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,53,和之前几天一样，我们仍然需要对龙门5区的外围进行防卫工作，只不过这次，可能会混入更多的整合运动。,前日と同じく、私たちは龍門5区の外周警備を担当しますが、今回は統合運動のメンバーがさらに紛れ込んでいる可能性があります。,ドーベルマン,True
name,战况有所不同，我们在出发之前需要告诉您一种新的战术策略。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,54,战况有所不同，我们在出发之前需要告诉您一种新的战术策略。,戦況はこれまでと異なりますので、出発前に新しい戦術についてお伝えしなければなりません。,ドーベルマン,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,0,55,,,,False
name,那么博士，今天还请多多指教......,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,56,那么博士，今天还请多多指教......,ではドクター、本日もよろしくお願いします……,アーミヤ,True
name,加油！,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,57,加油！,頑張ってください！,アーミヤ,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,0,58,,,,False
name,那么......,,,,杜宾,,,,,,,,,,,,,,,,,,,0,59,那么......,では……,ドーベルマン,True
blocker,,,,,,,,,1,1,0,0,0,true,,,,,,,,,,0,60,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,0,61,,,,False
background,,,,,,,,bg_0_rhodes3,0,,,,,,,,coverall,,,,,,,0,62,,,,False
blocker,,,,,,,,,1,0,0,0,0,true,,,,,,,,,,0,63,,,,False
name,请你们各自完成出发前的准备。博士请把准备好的编队配置命令下达给其他干员，让他们做好准备。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,64,请你们各自完成出发前的准备。博士请把准备好的编队配置命令下达给其他干员，让他们做好准备。,皆さん、出発前の準備を各自終わらせてください。ドクターは準備ができた編成指令を他のオペレーターたちに伝えて、準備を整えてもらってください。,ドーベルマン,True
name,完成演习后15分钟出发。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,65,完成演习后15分钟出发。,演習終了後15分で出発します。,ドーベルマン,True
blocker,,,,,,,,,2,1,0,0,0,true,,,,,,,,,,0,66,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,0,67,,,,False
delay,,,,,,0.4,,,,,,,,,,,,,,,,,,0,68,,,,False
name,这次，千万不要迟到。,,,,杜宾,,,,,,,,,,,,,,,,,,,0,69,这次，千万不要迟到。,今回は、絶対に遅刻しないでください。,ドーベルマン,True
