command,text,name,image,jp_text,jp_name
header,,,,,
stopmusic,,,,,
delay,,,,,
playsound,,,,,
playsound,,,,,
dialog,,,,,
blocker,,,,,
background,,,bg_snowconutry_3,,
character,,,,,
blocker,,,,,
delay,,,,,
playmusic,,,,,
dialog,,,,,
character,,,,,
name,啊啊啊啊啊啊啊！！！,乌萨斯农民,,あああああああ！！！,ウーサス農民
camerashake,,,,,
name,火！火！烫啊啊啊！！！,乌萨斯农民,,火だ！火だ！熱いあああ！！！,ウーサス農民
name,救命！！！！！,乌萨斯农民,,助けて！！！！！”,ウーサス農民
dialog,,,,,
blocker,,,,,
image,,,avg_8_11,,
blocker,,,,,
character,,,,,
imagetween,,,,,
name,爸爸！！,孩子,,お父さん！！,子供
name,怎么回事！快走，快跑啊！,哨兵,,どうなっている！早く行け、急げ！,哨兵
name,儿子，我的儿子！你这畜生......感染的牲口！！,老人,,息子よ、我が息子よ！この畜生……感染した家畜め！！,老人
name,啊！！火太大了，火太大了！咳，咳，唔......,老人,,ああ！！火が大きすぎる、火が大きすぎる！ゴホン、ゴホン、うぅ……,老人
name,混蛋！！！我死也不会......我诅咒你！！我诅咒你！！！皇帝在上，惩罚这些该死的感染者吧！！,老人,,この野郎！！！私は死んでも……私はお前を呪う！！私はお前を呪う！！！皇帝陛下よ、この忌まわしい感染者どもを罰してください！！,老人
dialog,,,,,
delay,,,,,
name,......,塔露拉,,……,タルラ
name,啊......啊......,塔露拉,,あ……あ……,タルラ
dialog,,,,,
blocker,,,,,
image,,,,,
blocker,,,,,
,已经不能再回头了。,,,もう後戻りはできない。,
,至此，这里发生的事，除了塔露拉外，无人知晓。,,,これに至るまで、ここで起こったことは、タルーラ以外誰も知らなかった。,
,之后的事情，众所皆知。,,,その後のことは、誰もが知っている。,
dialog,,,,,
blocker,,,,,
delay,,,,,
subtitle,你一旦认同我，一旦你理解了我，一旦你明白你处在怎样一片大地上......,,,,
subtitle,,,,,
subtitle,乌萨斯的未来将自此握在你手中。,,,,
subtitle,,,,,
delay,,,,,
dialog,,,,,
blocker,,,,,
background,,,bg_top,,
blocker,,,,,
delay,,,,,
playsound,,,,,
character,,char_002_amiya_1#4,,,
delay,,,,,
,阿米娅睁开眼睛。,,,アミヤは目を開けた。,
,她的眼泪还没干。但她已经看过了一切。,,,彼女の涙はまだ乾いていない。しかし彼女はすでにすべてを見てしまった。,
character,,,,,
dialog,,,,,
character,,char_011_talula_1,,,
delay,,,,,
name,——,塔露拉,,——,タルラ
name,怎么这里会有只卡特斯？,塔露拉,,なぜここにカーテスがいるの？,タルラ
character,,char_010_chen_1#2,,,
name,阿米娅！！当心！！,陈,,アーミヤ！！気をつけてください！！,チェン
dialog,,,,,
blocker,,,,,
image,,,,,
